Floor,Room_No.,Room_Name,Room_Type_No.,Room_Type_Name,Area_m2,Volume_m3,Specific_Cooling_Demand_per_m2_W_per_m2,Specific_Cooling_Demand_per_Person_W_per_Pers,Additional_Internal_Loads_W,Total_Cooling_Load_kW,Cooling_Type,Cooling_Capacity_W,Cooling_Count,Total_Cooling_kW,Specific_Heating_Demand_per_m2_W_per_m2,Total_Heating_Load_kW,Heating_Type,Heating_Capacity_W,Heating_Count,Total_Heating_kW
OG3_OKRFB,D3 06,Entwicklungslabor,1.0,Flex-/ Co-Work/,64000.0,192700.0,50.0,0.0,0.0,0.0,"3,200",1.0,320.0,0.0,40.0,256.0,H-K-Segel,2.56,1.0,256.0
OG3_OKRFB,D3 09,Flex-Work,1.0,Flex-/ Co-Work/,86000.0,259480.0,50.0,0.0,0.0,0.0,"4,300",1.0,430.0,0.0,40.0,344.0,H-K-Segel,3.44,1.0,344.0
OG3_OKRFB,D3 14,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,24510.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG3_OKRFB,D3 15,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,25040.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG3_OKRFB,D3 16,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,24730.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG3_OKRFB,D3 17,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,25040.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG3_OKRFB,D3 18,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,24730.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
OG3_OKRFB,D3 19,Doktorand,2.0,Einzel-/Zweierbüros,17000.0,51870.0,50.0,0.0,0.0,0.0,850,1.0,85.0,0.0,40.0,68.0,H-K-Segel,680.0,1.0,68.0
OG3_OKRFB,D3 21,Allg. & Gruppenleitung,2.0,Einzel-/Zweierbüros,17000.0,51220.0,50.0,0.0,0.0,0.0,850,1.0,85.0,0.0,40.0,68.0,H-K-Segel,680.0,1.0,68.0
OG3_OKRFB,D3 23,Wiss. Mitarbeiter,2.0,Einzel-/Zweierbüros,8000.0,25040.0,50.0,0.0,0.0,0.0,400,1.0,40.0,0.0,40.0,32.0,H-K-Segel,320.0,1.0,32.0
